Game,Winner,Turns,AZPoints,RandomPoints
0,NewAZPolicy,10,1,9
1,NewAZPolicy,9,1,12
2,NewAZPolicy,34,1,32
3,NewAZPolicy,29,1,40
4,NewAZPolicy,10,1,4
5,NewAZPolicy,9,1,4
6,NewAZPolicy,6,1,5
7,NewAZPolicy,31,1,37
8,NewAZPolicy,18,1,18
9,NewAZPolicy,21,1,30
10,NewAZPolicy,12,1,7
11,NewAZPolicy,33,1,41
12,NewAZPolicy,8,1,9
13,NewAZPolicy,5,1,6
14,NewAZPolicy,32,1,37
15,NewAZPolicy,15,1,18
16,NewAZPolicy,10,1,11
17,NewAZPolicy,27,1,35
18,NewAZPolicy,8,1,8
19,NewAZPolicy,9,1,13
20,NewAZPolicy,20,1,19
21,NewAZPolicy,9,1,7
22,NewAZPolicy,16,1,19
23,NewAZPolicy,29,1,36
24,NewAZPolicy,14,1,10
25,NewAZPolicy,11,1,15
26,NewAZPolicy,12,1,12
27,NewAZPolicy,25,1,28
28,NewAZPolicy,34,1,49
29,NewAZPolicy,17,1,23
30,NewAZPolicy,14,1,11
31,NewAZPolicy,25,6,32
32,NewAZPolicy,18,1,20
33,NewAZPolicy,13,1,15
34,NewAZPolicy,12,1,13
35,NewAZPolicy,9,1,9
36,NewAZPolicy,20,1,14
37,NewAZPolicy,19,1,23
38,NewAZPolicy,10,1,5
39,NewAZPolicy,7,1,8
40,NewAZPolicy,26,1,23
41,NewAZPolicy,9,1,11
42,NewAZPolicy,16,1,17
43,NewAZPolicy,13,1,10
44,NewAZPolicy,18,1,10
45,NewAZPolicy,13,1,12
46,NewAZPolicy,14,1,14
47,NewAZPolicy,9,1,9
48,NewAZPolicy,28,1,42
49,NewAZPolicy,31,1,30
50,NewAZPolicy,20,1,24
51,NewAZPolicy,9,1,11
52,NewAZPolicy,16,1,24
53,NewAZPolicy,11,1,18
54,NewAZPolicy,22,1,22
55,NewAZPolicy,5,1,6
56,NewAZPolicy,12,5,10
57,NewAZPolicy,9,1,5
58,NewAZPolicy,12,1,13
59,NewAZPolicy,13,1,8
60,NewAZPolicy,16,1,13
61,NewAZPolicy,13,1,14
62,NewAZPolicy,40,1,51
63,NewAZPolicy,9,1,11
64,NewAZPolicy,14,1,18
65,NewAZPolicy,7,1,2
66,NewAZPolicy,8,1,8
67,NewAZPolicy,35,1,44
68,NewAZPolicy,18,1,16
69,NewAZPolicy,29,1,42
70,NewAZPolicy,12,1,14
71,NewAZPolicy,19,1,21
72,NewAZPolicy,16,1,18
73,NewAZPolicy,19,1,28
74,NewAZPolicy,24,1,21
75,NewAZPolicy,11,1,9
76,NewAZPolicy,12,1,13
77,NewAZPolicy,15,1,16
78,NewAZPolicy,12,1,14
79,NewAZPolicy,15,3,17
80,NewAZPolicy,18,1,20
81,NewAZPolicy,17,1,18
82,NewAZPolicy,22,1,27
83,NewAZPolicy,9,1,4
84,NewAZPolicy,30,1,35
85,NewAZPolicy,27,1,32
86,NewAZPolicy,20,1,25
87,NewAZPolicy,7,1,8
88,NewAZPolicy,28,1,30
89,NewAZPolicy,19,1,24
90,NewAZPolicy,32,1,42
91,NewAZPolicy,35,1,32
92,NewAZPolicy,16,1,16
93,NewAZPolicy,23,1,32
94,NewAZPolicy,26,1,28
95,NewAZPolicy,15,1,22
96,NewAZPolicy,28,1,37
97,NewAZPolicy,9,1,11
98,NewAZPolicy,16,1,24
99,NewAZPolicy,17,1,19
100,NewAZPolicy,20,1,31
101,NewAZPolicy,11,1,7
102,NewAZPolicy,16,1,17
103,NewAZPolicy,9,1,7
104,NewAZPolicy,12,1,12
105,NewAZPolicy,5,1,6
106,NewAZPolicy,20,1,22
107,NewAZPolicy,27,1,31
108,NewAZPolicy,16,1,19
109,NewAZPolicy,13,1,7
110,NewAZPolicy,10,1,3
111,NewAZPolicy,9,1,11
112,NewAZPolicy,24,1,28
113,NewAZPolicy,7,1,2
114,NewAZPolicy,22,1,24
115,NewAZPolicy,15,1,19
116,NewAZPolicy,18,1,16
117,NewAZPolicy,19,1,20
118,NewAZPolicy,24,1,35
119,NewAZPolicy,17,1,28
120,NewAZPolicy,12,1,14
121,NewAZPolicy,13,1,12
122,NewAZPolicy,8,1,8
123,NewAZPolicy,15,1,7
124,NewAZPolicy,24,1,23
125,NewAZPolicy,19,6,15
126,NewAZPolicy,10,1,13
127,NewAZPolicy,9,1,3
128,NewAZPolicy,28,1,33
129,NewAZPolicy,31,1,41
130,NewAZPolicy,18,1,15
131,NewAZPolicy,27,1,36
132,NewAZPolicy,10,1,11
133,NewAZPolicy,13,1,16
134,NewAZPolicy,10,1,11
135,NewAZPolicy,35,1,32
136,NewAZPolicy,26,1,30
137,NewAZPolicy,19,1,26
138,NewAZPolicy,24,5,28
139,NewAZPolicy,5,1,6
140,NewAZPolicy,12,1,11
141,NewAZPolicy,21,1,22
142,NewAZPolicy,14,1,15
143,NewAZPolicy,11,1,16
144,NewAZPolicy,6,1,6
145,NewAZPolicy,11,1,10
146,NewAZPolicy,22,1,27
147,NewAZPolicy,21,1,29
148,NewAZPolicy,12,1,8
149,NewAZPolicy,11,1,15
150,NewAZPolicy,14,1,18
151,NewAZPolicy,27,1,40
152,NewAZPolicy,14,1,11
153,NewAZPolicy,35,1,45
154,NewAZPolicy,22,1,31
155,NewAZPolicy,33,1,42
156,NewAZPolicy,24,1,17
157,NewAZPolicy,9,1,9
158,NewAZPolicy,16,1,11
159,NewAZPolicy,7,1,10
160,NewAZPolicy,26,1,32
