Game,Winner,Turns,MCTSPoints,GreedyPoints
0,MCTS,62,77,53
1,MCTS,56,78,44
2,MCTS,49,68,52
3,MCTS,10,14,12
4,MCTS,35,54,39
5,MCTS,44,63,61
6,MCTS,69,75,57
7,MCTS,57,74,37
8,MCTS,67,80,60
9,MCTS,67,77,63
10,MCTS,11,16,15
11,MCTS,73,74,69
12,MCTS,20,34,27
13,MCTS,40,53,47
14,MCTS,55,77,39
15,MCTS,67,79,63
16,MCTS,62,78,57
17,MCTS,62,81,64
18,MCTS,59,84,55
19,MCTS,35,54,37
20,MCTS,9,14,9
21,MCTS,32,47,46
22,MCTS,25,47,30
23,MCTS,70,71,57
24,MCTS,23,38,33
25,MCTS,63,78,60
26,MCTS,61,82,63
27,MCTS,67,81,71
28,MCTS,63,83,71
29,MCTS,69,73,58
30,MCTS,11,17,15
31,MCTS,59,79,54
32,MCTS,11,15,11
33,MCTS,71,68,51
34,MCTS,23,32,25
35,MCTS,60,82,59
36,MCTS,9,13,10
37,MCTS,18,25,23
38,MCTS,19,29,27
39,MCTS,21,19,18
40,MCTS,36,53,50
41,MCTS,73,79,71
42,MCTS,50,66,57
43,MCTS,12,17,13
44,MCTS,29,44,36
45,MCTS,35,47,42
46,MCTS,76,73,63
47,MCTS,58,77,40
48,MCTS,25,38,33
49,MCTS,16,25,20
50,MCTS,27,42,32
51,MCTS,74,75,60
52,MCTS,72,77,72
53,MCTS,75,73,67
54,MCTS,62,81,62
55,MCTS,63,84,72
56,MCTS,9,12,10
57,MCTS,70,80,68
58,MCTS,57,84,63
59,MCTS,34,54,51
60,MCTS,67,81,64
61,MCTS,26,38,34
62,MCTS,66,78,68
63,MCTS,61,80,59
64,MCTS,74,71,62
65,MCTS,67,78,61
66,MCTS,65,78,51
67,MCTS,60,84,64
68,MCTS,53,72,63
69,MCTS,65,74,49
70,MCTS,57,83,62
71,MCTS,64,82,61
72,MCTS,7,8,6
73,MCTS,63,79,57
74,MCTS,63,82,67
75,MCTS,41,56,55
76,MCTS,67,79,68
77,MCTS,58,80,50
78,MCTS,63,76,56
79,MCTS,31,47,45
80,MCTS,20,31,30
81,MCTS,64,81,68
82,MCTS,13,20,18
83,MCTS,65,77,56
84,MCTS,61,78,50
85,MCTS,68,77,59
86,MCTS,57,79,51
87,MCTS,57,69,26
88,MCTS,63,83,68
89,MCTS,38,50,48
90,MCTS,76,77,61
91,MCTS,63,79,58
92,MCTS,38,51,47
93,MCTS,62,81,62
94,MCTS,66,78,65
95,MCTS,24,35,32
96,MCTS,16,26,0
97,MCTS,72,77,71
98,MCTS,9,13,9
99,MCTS,61,81,56
