Game,Winner,Turns,MinimaxPoints,GreedyPoints
0,RandomPolicy,90,65,67
1,MinimaxAgent,69,81,70
2,MinimaxAgent,63,83,64
3,MinimaxAgent,57,84,59
4,RandomPolicy,19,26,26
5,MinimaxAgent,73,76,65
6,MinimaxAgent,33,54,49
7,MinimaxAgent,70,80,63
8,MinimaxAgent,62,78,54
9,MinimaxAgent,66,76,50
10,MinimaxAgent,43,55,52
11,MinimaxAgent,64,67,66
12,MinimaxAgent,61,81,63
13,MinimaxAgent,62,77,56
14,MinimaxAgent,17,25,21
15,MinimaxAgent,6,6,6
16,MinimaxAgent,63,85,68
17,MinimaxAgent,18,27,26
18,MinimaxAgent,68,72,55
19,MinimaxAgent,46,63,52
20,MinimaxAgent,67,82,69
21,MinimaxAgent,60,83,56
22,MinimaxAgent,57,79,45
23,MinimaxAgent,18,27,23
24,MinimaxAgent,13,19,15
25,MinimaxAgent,70,78,70
26,MinimaxAgent,67,82,69
27,MinimaxAgent,34,50,42
28,MinimaxAgent,36,54,50
29,MinimaxAgent,87,68,64
30,MinimaxAgent,15,23,21
31,MinimaxAgent,58,80,46
32,MinimaxAgent,61,85,60
33,MinimaxAgent,67,70,51
34,MinimaxAgent,65,78,52
35,MinimaxAgent,38,46,41
36,MinimaxAgent,68,79,63
37,MinimaxAgent,8,10,10
38,MinimaxAgent,63,73,56
39,MinimaxAgent,42,56,42
40,MinimaxAgent,22,34,27
41,MinimaxAgent,72,76,67
42,MinimaxAgent,53,68,66
43,MinimaxAgent,8,10,10
44,MinimaxAgent,9,11,10
45,MinimaxAgent,64,81,58
46,MinimaxAgent,53,70,65
47,MinimaxAgent,42,55,54
48,MinimaxAgent,67,81,66
49,MinimaxAgent,60,88,76
50,MinimaxAgent,84,70,63
51,MinimaxAgent,62,84,67
52,MinimaxAgent,15,21,19
53,MinimaxAgent,56,85,77
54,MinimaxAgent,57,84,53
55,MinimaxAgent,42,51,42
56,MinimaxAgent,61,83,63
57,MinimaxAgent,61,79,61
58,MinimaxAgent,105,5,0
59,MinimaxAgent,65,72,52
60,MinimaxAgent,63,81,64
61,MinimaxAgent,18,24,21
62,MinimaxAgent,23,35,34
63,MinimaxAgent,74,4,0
64,MinimaxAgent,58,79,49
65,MinimaxAgent,60,78,55
66,MinimaxAgent,68,80,72
67,MinimaxAgent,68,74,64
68,MinimaxAgent,67,79,66
69,MinimaxAgent,79,67,63
70,MinimaxAgent,55,78,42
71,MinimaxAgent,40,56,55
72,MinimaxAgent,9,11,9
73,MinimaxAgent,24,35,35
74,MinimaxAgent,49,69,64
75,MinimaxAgent,83,65,57
76,MinimaxAgent,10,15,14
77,MinimaxAgent,66,78,60
78,MinimaxAgent,55,79,49
79,MinimaxAgent,34,51,44
80,MinimaxAgent,67,82,70
81,GreedyPolicy,79,72,78
82,MinimaxAgent,55,86,58
83,MinimaxAgent,69,76,59
84,MinimaxAgent,71,77,66
85,MinimaxAgent,82,72,65
86,MinimaxAgent,70,79,70
87,MinimaxAgent,56,81,52
88,MinimaxAgent,69,77,59
89,MinimaxAgent,34,45,41
90,MinimaxAgent,76,80,67
91,MinimaxAgent,78,5,0
92,MinimaxAgent,37,52,49
93,MinimaxAgent,63,72,45
94,MinimaxAgent,57,82,47
95,MinimaxAgent,50,69,57
96,MinimaxAgent,49,5,0
97,MinimaxAgent,72,79,65
98,MinimaxAgent,57,79,48
99,MinimaxAgent,38,61,55
