Game,Winner,Turns,MCTSPoints,MCTSHardPoints
0,SoftPlayoutAgent,15,21,15
1,SoftPlayoutAgent,28,43,35
2,HardPlayoutAgent,89,71,74
3,SoftPlayoutAgent,58,76,20
4,SoftPlayoutAgent,48,66,50
5,SoftPlayoutAgent,67,78,53
6,SoftPlayoutAgent,67,76,41
7,SoftPlayoutAgent,48,67,51
8,SoftPlayoutAgent,61,77,21
9,SoftPlayoutAgent,66,79,49
10,SoftPlayoutAgent,71,75,47
11,SoftPlayoutAgent,34,55,32
12,SoftPlayoutAgent,38,58,50
13,SoftPlayoutAgent,72,63,0
14,SoftPlayoutAgent,61,82,53
15,SoftPlayoutAgent,68,79,57
16,SoftPlayoutAgent,63,83,52
17,SoftPlayoutAgent,65,78,46
18,SoftPlayoutAgent,64,80,52
19,SoftPlayoutAgent,42,58,35
20,SoftPlayoutAgent,59,86,50
21,SoftPlayoutAgent,68,72,48
22,SoftPlayoutAgent,13,18,15
23,SoftPlayoutAgent,20,25,24
24,SoftPlayoutAgent,60,81,52
25,SoftPlayoutAgent,56,73,70
26,SoftPlayoutAgent,59,80,48
27,SoftPlayoutAgent,22,30,29
28,SoftPlayoutAgent,35,54,36
29,SoftPlayoutAgent,63,69,15
30,SoftPlayoutAgent,33,52,39
31,SoftPlayoutAgent,40,53,32
32,SoftPlayoutAgent,17,26,22
33,SoftPlayoutAgent,62,82,47
34,SoftPlayoutAgent,56,76,22
35,SoftPlayoutAgent,30,41,32
36,SoftPlayoutAgent,27,42,39
37,SoftPlayoutAgent,61,71,65
38,SoftPlayoutAgent,64,75,38
39,SoftPlayoutAgent,32,47,40
40,SoftPlayoutAgent,33,48,25
41,SoftPlayoutAgent,63,82,60
42,SoftPlayoutAgent,67,80,47
43,SoftPlayoutAgent,60,73,23
44,SoftPlayoutAgent,25,37,30
45,SoftPlayoutAgent,66,82,54
46,SoftPlayoutAgent,63,84,47
47,SoftPlayoutAgent,60,73,24
48,SoftPlayoutAgent,66,72,30
49,SoftPlayoutAgent,36,53,45
50,SoftPlayoutAgent,41,62,39
51,HardPlayoutAgent,82,70,73
52,SoftPlayoutAgent,15,22,20
53,SoftPlayoutAgent,30,45,35
54,SoftPlayoutAgent,72,65,4
55,SoftPlayoutAgent,64,86,51
56,SoftPlayoutAgent,13,19,10
57,SoftPlayoutAgent,61,75,27
58,SoftPlayoutAgent,60,76,23
59,SoftPlayoutAgent,22,33,27
60,SoftPlayoutAgent,31,42,31
61,SoftPlayoutAgent,70,78,51
62,SoftPlayoutAgent,73,77,65
63,SoftPlayoutAgent,62,76,18
64,SoftPlayoutAgent,55,84,27
65,SoftPlayoutAgent,69,76,44
66,SoftPlayoutAgent,61,79,22
67,SoftPlayoutAgent,40,54,39
68,SoftPlayoutAgent,68,74,46
69,SoftPlayoutAgent,20,28,24
70,SoftPlayoutAgent,25,39,29
71,SoftPlayoutAgent,40,54,49
72,SoftPlayoutAgent,21,33,25
73,SoftPlayoutAgent,64,72,68
74,SoftPlayoutAgent,61,74,15
75,SoftPlayoutAgent,22,33,21
76,SoftPlayoutAgent,62,69,20
77,SoftPlayoutAgent,38,60,36
78,SoftPlayoutAgent,47,64,59
79,SoftPlayoutAgent,60,72,67
80,SoftPlayoutAgent,39,55,39
81,SoftPlayoutAgent,66,70,10
82,SoftPlayoutAgent,69,76,42
83,SoftPlayoutAgent,66,80,47
84,SoftPlayoutAgent,57,78,32
85,SoftPlayoutAgent,22,29,19
86,SoftPlayoutAgent,52,78,14
87,SoftPlayoutAgent,64,76,32
88,SoftPlayoutAgent,60,77,41
89,SoftPlayoutAgent,60,83,40
90,SoftPlayoutAgent,62,80,39
91,SoftPlayoutAgent,30,48,33
92,SoftPlayoutAgent,27,41,26
93,SoftPlayoutAgent,23,36,28
94,SoftPlayoutAgent,62,74,19
95,SoftPlayoutAgent,64,76,29
96,SoftPlayoutAgent,66,77,46
97,SoftPlayoutAgent,50,63,46
98,SoftPlayoutAgent,61,64,0
99,SoftPlayoutAgent,30,43,34
