Game,Winner,Turns,MCTSPoints,MinimaxPrunedPoints
0,MCTS,79,76,74
1,MCTS,79,77,77
2,MCTS,77,80,72
3,PrunedAgent,77,74,78
4,MCTS,93,71,65
5,MCTS,88,73,72
6,MCTS,82,73,67
7,MCTS,72,81,69
8,PrunedAgent,91,73,76
9,MCTS,76,76,63
10,MCTS,73,80,73
11,MCTS,79,77,77
12,PrunedAgent,76,71,77
13,PrunedAgent,71,66,79
14,PrunedAgent,82,74,76
15,PrunedAgent,63,62,84
16,PrunedAgent,82,74,75
17,MCTS,80,73,64
18,PrunedAgent,76,77,80
19,PrunedAgent,86,67,72
20,MCTS,78,73,66
21,PrunedAgent,87,70,72
22,PrunedAgent,80,70,73
23,MCTS,80,73,71
24,MCTS,78,74,72
25,PrunedAgent,71,69,78
26,PrunedAgent,92,70,72
27,MCTS,75,81,78
28,MCTS,73,76,64
29,PrunedAgent,27,36,38
30,MCTS,93,71,65
31,MCTS,84,72,67
32,PrunedAgent,79,70,76
33,PrunedAgent,69,68,80
34,PrunedAgent,82,72,75
35,MCTS,74,82,79
36,MCTS,78,74,71
37,PrunedAgent,88,65,70
38,PrunedAgent,79,78,78
39,MCTS,78,74,66
40,PrunedAgent,68,75,83
41,PrunedAgent,73,71,81
42,PrunedAgent,78,69,76
43,MCTS,78,79,78
44,MCTS,75,76,69
45,PrunedAgent,86,67,71
46,MCTS,74,77,71
47,PrunedAgent,88,65,69
48,MCTS,78,75,70
49,MCTS,72,81,74
50,PrunedAgent,78,77,79
51,PrunedAgent,81,74,75
52,MCTS,65,81,64
53,PrunedAgent,73,70,78
54,PrunedAgent,78,69,75
55,MCTS,82,74,66
56,MCTS,67,86,69
57,MCTS,81,73,71
58,PrunedAgent,89,75,75
59,PrunedAgent,63,66,87
60,MCTS,80,78,77
61,PrunedAgent,69,61,79
62,PrunedAgent,76,79,81
63,PrunedAgent,75,71,77
64,PrunedAgent,66,69,80
65,PrunedAgent,73,69,79
66,PrunedAgent,74,67,79
67,PrunedAgent,90,71,73
68,MCTS,75,78,69
69,PrunedAgent,73,65,83
70,MCTS,82,73,70
71,PrunedAgent,84,71,74
72,MCTS,78,80,77
73,PrunedAgent,82,72,76
74,MCTS,84,71,68
75,PrunedAgent,89,69,70
76,MCTS,76,78,73
77,MCTS,76,75,72
78,MCTS,72,75,69
79,MCTS,72,79,72
80,PrunedAgent,76,76,79
81,PrunedAgent,80,73,76
82,MCTS,66,82,71
83,MCTS,82,79,78
84,MCTS,83,76,73
85,PrunedAgent,71,69,81
86,PrunedAgent,72,75,83
87,PrunedAgent,71,74,81
88,MCTS,81,77,72
89,MCTS,88,74,74
90,PrunedAgent,78,70,75
