Game,Winner,Turns,VanillaPoints,PrunedPoints
0,PrunedAgent,97,49,54
1,PrunedAgent,53,59,66
2,PrunedAgent,85,70,73
3,PrunedAgent,79,65,75
4,PrunedAgent,74,66,78
5,PrunedAgent,35,43,45
6,MinimaxAgent,72,83,77
7,MinimaxAgent,78,77,77
8,PrunedAgent,84,73,75
9,MinimaxAgent,70,76,64
10,PrunedAgent,89,69,73
11,PrunedAgent,76,68,77
12,PrunedAgent,64,56,73
13,MinimaxAgent,87,59,42
14,PrunedAgent,33,45,45
15,PrunedAgent,57,68,76
16,PrunedAgent,82,80,81
17,PrunedAgent,77,68,74
18,PrunedAgent,65,78,78
19,PrunedAgent,65,73,85
20,PrunedAgent,88,62,64
21,MinimaxAgent,75,82,80
22,PrunedAgent,82,74,77
23,PrunedAgent,65,57,65
24,PrunedAgent,60,64,74
25,MinimaxAgent,78,79,79
26,PrunedAgent,81,75,75
27,PrunedAgent,33,37,44
28,PrunedAgent,78,63,72
29,PrunedAgent,77,68,76
30,PrunedAgent,79,72,76
31,PrunedAgent,83,57,69
32,PrunedAgent,66,66,82
33,PrunedAgent,51,62,63
34,PrunedAgent,80,61,70
35,PrunedAgent,69,67,80
36,MinimaxAgent,81,72,66
37,PrunedAgent,69,57,78
38,MinimaxAgent,77,78,74
39,PrunedAgent,79,72,75
40,MinimaxAgent,73,78,72
41,PrunedAgent,81,65,76
42,PrunedAgent,73,74,80
43,PrunedAgent,83,71,74
44,PrunedAgent,48,63,66
45,PrunedAgent,85,51,61
46,PrunedAgent,26,39,40
47,PrunedAgent,11,12,14
48,MinimaxAgent,73,76,68
49,PrunedAgent,37,50,55
50,PrunedAgent,104,38,41
51,PrunedAgent,87,60,66
52,PrunedAgent,46,62,66
53,MinimaxAgent,76,80,73
54,PrunedAgent,70,70,78
55,PrunedAgent,113,0,5
56,PrunedAgent,72,67,78
57,MinimaxAgent,74,81,69
58,PrunedAgent,82,66,71
59,PrunedAgent,77,66,78
60,MinimaxAgent,79,76,73
61,MinimaxAgent,78,72,61
62,PrunedAgent,94,62,65
63,PrunedAgent,76,72,79
64,PrunedAgent,29,46,46
65,PrunedAgent,73,64,76
66,PrunedAgent,83,72,74
67,PrunedAgent,97,55,59
68,PrunedAgent,64,63,65
69,PrunedAgent,82,68,74
70,PrunedAgent,118,0,5
71,PrunedAgent,77,72,79
72,PrunedAgent,52,59,73
73,PrunedAgent,67,71,85
74,PrunedAgent,38,44,51
75,PrunedAgent,77,71,75
76,PrunedAgent,72,79,83
77,PrunedAgent,91,66,68
78,PrunedAgent,72,75,81
79,PrunedAgent,71,66,77
80,PrunedAgent,66,69,72
81,PrunedAgent,76,75,78
82,MinimaxAgent,81,76,75
83,MinimaxAgent,28,42,42
84,PrunedAgent,114,0,5
85,PrunedAgent,88,61,64
86,PrunedAgent,38,52,55
87,PrunedAgent,85,66,68
88,PrunedAgent,98,53,58
89,MinimaxAgent,68,74,74
90,PrunedAgent,83,65,68
91,PrunedAgent,97,54,56
92,PrunedAgent,74,79,82
93,PrunedAgent,73,67,81
94,PrunedAgent,72,67,77
95,PrunedAgent,81,68,73
96,PrunedAgent,47,56,56
97,PrunedAgent,82,72,74
98,PrunedAgent,106,35,37
99,PrunedAgent,27,38,40
