Game,Winner,Turns,AZPoints,RandomPoints
0,AZPolicy,26,21,19
1,AZPolicy,22,22,14
2,AZPolicy,38,30,9
3,RandomPolicy,35,13,23
4,AZPolicy,40,31,10
5,AZPolicy,11,12,8
6,AZPolicy,22,32,16
7,AZPolicy,39,31,19
8,AZPolicy,28,28,24
9,AZPolicy,35,32,23
10,AZPolicy,13,12,11
11,RandomPolicy,8,3,8
12,AZPolicy,14,14,2
13,AZPolicy,14,11,9
14,RandomPolicy,18,6,13
15,AZPolicy,13,8,8
16,AZPolicy,9,11,4
17,AZPolicy,25,26,20
18,AZPolicy,33,36,0
19,RandomPolicy,12,6,11
20,RandomPolicy,32,21,23
21,AZPolicy,16,14,11
22,AZPolicy,14,9,8
23,RandomPolicy,17,11,20
24,AZPolicy,9,11,1
25,AZPolicy,26,22,0
26,AZPolicy,15,11,5
27,RandomPolicy,13,10,11
28,AZPolicy,15,20,2
29,AZPolicy,33,37,13
30,RandomPolicy,22,12,16
31,AZPolicy,8,8,2
32,AZPolicy,22,14,13
33,AZPolicy,21,16,5
34,AZPolicy,16,9,8
35,RandomPolicy,15,8,14
36,AZPolicy,21,23,12
37,AZPolicy,37,31,15
38,AZPolicy,104,20,0
39,AZPolicy,35,22,21
40,AZPolicy,11,14,10
41,AZPolicy,12,14,0
42,RandomPolicy,28,14,21
43,AZPolicy,10,11,6
44,AZPolicy,10,6,5
45,AZPolicy,35,30,6
46,AZPolicy,11,11,9
47,RandomPolicy,13,10,13
48,AZPolicy,36,23,7
49,AZPolicy,15,16,0
50,AZPolicy,30,29,26
51,AZPolicy,14,9,8
52,AZPolicy,20,26,5
53,RandomPolicy,14,11,12
54,AZPolicy,15,18,12
55,AZPolicy,23,25,23
56,AZPolicy,36,26,22
57,AZPolicy,19,8,4
58,AZPolicy,17,20,15
59,AZPolicy,43,44,9
60,AZPolicy,22,23,20
61,AZPolicy,19,15,11
62,AZPolicy,40,29,16
63,RandomPolicy,27,22,25
64,AZPolicy,11,14,11
65,AZPolicy,31,25,18
66,AZPolicy,34,50,0
67,RandomPolicy,23,15,21
68,AZPolicy,18,18,11
69,AZPolicy,21,21,9
70,AZPolicy,24,22,13
71,AZPolicy,16,17,14
72,AZPolicy,17,21,13
73,RandomPolicy,9,8,11
74,AZPolicy,19,17,11
75,AZPolicy,26,33,0
76,AZPolicy,22,27,7
77,AZPolicy,14,12,10
78,AZPolicy,31,38,0
79,AZPolicy,32,43,4
80,AZPolicy,13,18,8
81,RandomPolicy,13,8,9
82,RandomPolicy,63,8,28
83,RandomPolicy,29,15,21
84,AZPolicy,34,19,16
85,AZPolicy,27,33,7
86,RandomPolicy,50,19,26
87,AZPolicy,19,21,17
88,AZPolicy,11,7,6
89,RandomPolicy,49,12,38
90,AZPolicy,9,9,6
91,AZPolicy,43,41,10
92,RandomPolicy,16,7,20
93,AZPolicy,43,30,11
94,AZPolicy,18,10,3
95,AZPolicy,24,40,10
96,AZPolicy,23,27,0
97,AZPolicy,15,11,10
98,RandomPolicy,48,32,33
99,AZPolicy,31,18,10
100,AZPolicy,32,27,15
101,RandomPolicy,31,7,19
102,AZPolicy,23,30,0
103,AZPolicy,26,34,17
104,AZPolicy,34,40,8
105,AZPolicy,23,22,10
106,RandomPolicy,22,20,23
107,AZPolicy,30,35,13
108,AZPolicy,26,31,23
109,AZPolicy,16,17,11
110,RandomPolicy,10,10,12
111,AZPolicy,21,19,4
112,AZPolicy,28,20,8
113,AZPolicy,35,28,21
114,AZPolicy,9,9,0
115,AZPolicy,16,16,15
116,RandomPolicy,9,7,11
117,AZPolicy,20,23,11
118,RandomPolicy,26,20,23
119,RandomPolicy,28,15,18
120,AZPolicy,15,6,5
121,RandomPolicy,14,9,11
122,AZPolicy,22,23,0
123,AZPolicy,25,14,14
124,AZPolicy,36,30,27
125,RandomPolicy,9,7,10
126,AZPolicy,24,28,14
127,RandomPolicy,79,2,36
128,RandomPolicy,22,11,12
129,AZPolicy,30,38,20
130,AZPolicy,19,23,8
131,RandomPolicy,16,8,15
132,AZPolicy,26,22,12
133,RandomPolicy,45,2,45
134,AZPolicy,20,20,15
135,AZPolicy,15,10,0
136,AZPolicy,23,26,4
137,RandomPolicy,53,13,16
138,AZPolicy,9,9,3
139,AZPolicy,25,27,10
140,AZPolicy,20,26,12
141,AZPolicy,12,13,11
142,RandomPolicy,16,12,19
143,AZPolicy,37,30,17
144,RandomPolicy,14,12,15
145,AZPolicy,27,27,6
146,AZPolicy,20,18,12
147,AZPolicy,25,26,24
148,AZPolicy,34,38,27
149,AZPolicy,31,17,14
150,AZPolicy,31,33,15
151,RandomPolicy,12,8,13
152,AZPolicy,48,38,30
153,RandomPolicy,43,23,42
154,AZPolicy,22,13,0
155,AZPolicy,25,14,4
