Game,Winner,Turns,MinimaxPoints,RandomPoints
0,MinimaxAgent,19,31,24
1,MinimaxAgent,14,15,13
2,MinimaxAgent,97,5,0
3,MinimaxAgent,4,1,1
4,MinimaxAgent,19,35,15
5,MinimaxAgent,12,17,7
6,MinimaxAgent,17,24,7
7,MinimaxAgent,14,16,7
8,MinimaxAgent,5,5,1
9,MinimaxAgent,6,6,5
10,MinimaxAgent,11,17,5
11,MinimaxAgent,14,22,18
12,MinimaxAgent,15,21,13
13,MinimaxAgent,4,1,1
14,MinimaxAgent,9,12,3
15,MinimaxAgent,6,4,4
16,MinimaxAgent,7,11,6
17,MinimaxAgent,6,6,4
18,MinimaxAgent,5,6,1
19,MinimaxAgent,10,13,11
20,MinimaxAgent,7,8,2
21,MinimaxAgent,6,4,2
22,MinimaxAgent,23,35,25
23,MinimaxAgent,34,50,26
24,MinimaxAgent,7,9,5
25,MinimaxAgent,10,12,6
26,MinimaxAgent,11,14,11
27,MinimaxAgent,6,5,4
28,MinimaxAgent,9,12,3
29,MinimaxAgent,8,9,8
30,MinimaxAgent,23,38,15
31,MinimaxAgent,4,1,1
32,MinimaxAgent,9,15,2
33,MinimaxAgent,4,1,1
34,MinimaxAgent,11,17,14
35,MinimaxAgent,26,40,30
36,MinimaxAgent,7,8,6
37,MinimaxAgent,4,1,1
38,MinimaxAgent,53,81,17
39,MinimaxAgent,8,10,6
40,MinimaxAgent,5,6,1
41,MinimaxAgent,16,21,20
42,MinimaxAgent,5,6,1
43,MinimaxAgent,14,20,16
44,MinimaxAgent,13,18,6
45,MinimaxAgent,6,6,4
46,MinimaxAgent,7,9,6
47,MinimaxAgent,4,1,1
48,MinimaxAgent,15,23,20
49,MinimaxAgent,6,6,2
50,MinimaxAgent,13,21,12
51,MinimaxAgent,10,12,9
52,MinimaxAgent,9,11,7
53,MinimaxAgent,8,8,7
54,MinimaxAgent,7,11,6
55,MinimaxAgent,12,16,11
56,MinimaxAgent,7,11,4
57,MinimaxAgent,6,5,3
58,MinimaxAgent,9,13,3
59,MinimaxAgent,4,1,1
60,MinimaxAgent,11,16,8
61,MinimaxAgent,6,6,6
62,MinimaxAgent,5,4,1
63,MinimaxAgent,10,13,9
64,MinimaxAgent,7,10,3
65,MinimaxAgent,6,6,6
66,MinimaxAgent,19,30,17
67,MinimaxAgent,8,10,6
68,MinimaxAgent,5,6,1
69,MinimaxAgent,4,1,1
70,MinimaxAgent,7,9,1
71,MinimaxAgent,6,6,6
72,MinimaxAgent,11,15,10
73,MinimaxAgent,10,11,3
74,RandomPolicy,11,10,10
75,MinimaxAgent,24,39,17
76,MinimaxAgent,9,14,6
77,MinimaxAgent,4,1,1
78,MinimaxAgent,9,14,8
79,MinimaxAgent,10,14,7
80,MinimaxAgent,13,18,5
81,MinimaxAgent,6,6,2
82,MinimaxAgent,7,6,5
83,MinimaxAgent,18,25,11
84,MinimaxAgent,13,20,11
85,MinimaxAgent,20,27,18
86,MinimaxAgent,15,24,17
87,MinimaxAgent,28,41,17
88,MinimaxAgent,7,10,6
89,MinimaxAgent,22,26,18
90,MinimaxAgent,11,15,9
91,MinimaxAgent,30,50,31
92,MinimaxAgent,7,10,4
93,MinimaxAgent,6,5,5
94,MinimaxAgent,5,6,1
95,MinimaxAgent,6,5,4
96,MinimaxAgent,16,19,12
97,MinimaxAgent,8,11,3
98,MinimaxAgent,7,10,5
99,MinimaxAgent,12,17,13
